Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pm_base_link,-1.4589E-05,0.00097471,0.054744,0,0,0,0.136,0.00022399,1.6941E-08,-9.6464E-09,0.00018815,1.4376E-05,0.00010598,0,0,0,0,0,0,package://permanent_magnet/meshes/pm_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://permanent_magnet/meshes/pm_base_link.STL,,HammerMold-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pm_tcp_link,-1.4589E-05,0.00097471,-0.026256,0,0,0,0.136,0.00022399,1.6941E-08,-9.6464E-09,0.00018815,1.4376E-05,0.00010598,0,0,0,0,0,0,package://permanent_magnet/meshes/pm_tcp_link.STL,1,1,1,1,0,0,0,0,0,0,package://permanent_magnet/meshes/pm_tcp_link.STL,,HammerMold-1,坐标系2,基准轴1 <HammerMold-1>,permanent_magnet,fixed,0,0,0.081,0,0,0,pm_base_link,0,0,0,,,,,,,,,,,,
