2025-11-20 16:15:49,684 INFO  SwAddin.cs: 294 - Assembly export called for file permanent_assemble.SLDASM
2025-11-20 16:15:49,685 INFO  SwAddin.cs: 299 - Save is required
2025-11-20 16:15:49,685 INFO  SwAddin.cs: 313 - Saving assembly
2025-11-20 16:15:49,954 INFO  SwAddin.cs: 316 - Opening property manager
2025-11-20 16:15:49,955 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from permanent_assemble.SLDASM
2025-11-20 16:15:49,955 INFO  ExportHelperExtension.cs: 1136 - Found 27 in permanent_assemble.SLDASM
2025-11-20 16:15:49,956 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [CoordSys] in permanent_assemble.SLDASM
2025-11-20 16:15:49,956 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-11-20 16:15:49,957 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-11-20 16:15:49,957 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from HammerMold-1
2025-11-20 16:15:49,958 INFO  ExportHelperExtension.cs: 1136 - Found 81 in HammerMold-1
2025-11-20 16:15:49,958 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in HammerMold-1
2025-11-20 16:15:49,959 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from permanent_assemble.SLDASM
2025-11-20 16:15:49,959 INFO  ExportHelperExtension.cs: 1136 - Found 27 in permanent_assemble.SLDASM
2025-11-20 16:15:49,959 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in permanent_assemble.SLDASM
2025-11-20 16:15:49,960 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-11-20 16:15:49,960 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-11-20 16:15:49,960 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from HammerMold-1
2025-11-20 16:15:49,961 INFO  ExportHelperExtension.cs: 1136 - Found 81 in HammerMold-1
2025-11-20 16:15:49,961 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [RefAxis] in HammerMold-1
2025-11-20 16:15:50,150 INFO  SwAddin.cs: 339 - Loading config tree
2025-11-20 16:15:50,152 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
