time,x,y,z,qx,qy,qz,qw
1744722634.3971496,0.023604336629460747,0.0041200209124803286,0.015557260982821307,-0.11294594263939689,0.9933162158170191,0.0,0.023793054370031937
1744722634.466581,0.02534592311671144,0.003847285207534555,0.01562263585532176,-0.19075969328087855,0.981350015444383,0.0,0.023725231436057963
1744722634.535664,0.02695229496702576,0.003684833712823381,0.015661500386589252,-0.26878059814396865,0.9630828362303955,0.0,0.015114252207372
1744722634.6050534,0.027685347456021525,0.0037486156209087964,0.015570453901938704,-0.7447493461502321,0.6671690804787337,0.0,0.015291483314675006
1744722634.673784,0.027936606807793484,0.004573854170373552,0.015701691241677813,-0.3650794897389515,0.930890439189947,0.0,0.01264738695124729
1744722634.74227,0.028217443299156326,0.005559047188406313,0.015794771695898296,-0.7653929601330116,0.6434987260995513,0.0,0.009110767645002711
1744722634.8106382,0.02831073311883774,0.00666080028793084,0.015788709208040298,-0.8324199474375961,0.5540333047928104,0.0,0.011141287553366162
1744722634.879866,0.028521984266625354,0.007818107945702656,0.015843690665378735,-0.9696161313754503,0.24429205271303195,0.0,0.012882187615417854
1744722634.948808,0.028603913944791108,0.009015537247115046,0.015944090984201208,-0.91744049287263,0.39777018235201905,0.0,0.009045665772484033
1744722635.0184753,0.028808016256443372,0.010213724329968688,0.015887626316615798,-0.9960320768113745,0.08816993754500359,0.0,0.012089833585716902
1744722635.09644,0.028960648404774275,0.011327435087545143,0.015858986588171496,-0.9813468910908639,0.1918942908388653,0.0,0.011612944921309551
1744722635.164373,0.029161594376131902,0.013462372552814256,0.016089242574059973,0.9996843972815385,-0.01875078695521655,0.0,0.016718666825064975
1744722635.2331903,0.029280684687164663,0.014763781416299205,0.015958985680478446,0.996174836236887,-0.08344700459498068,0.0,0.025928614936723056
1744722635.3021176,0.029390261258304195,0.01590990853810323,0.01588630918169101,0.9983588912881883,-0.05144051266538307,0.0,0.025167396419613283
1744722635.3700554,0.0294939791466967,0.017166826022660925,0.015742494697057893,0.997451195202014,-0.06620850615388527,0.0,0.026599753813612313
1744722635.4384825,0.029603612045685384,0.01826681869009503,0.01570575627658913,0.9967195669103227,-0.07817627962748565,0.0,0.020942164207742957
1744722635.507795,0.029711990969055413,0.019340918578404073,0.01565711979109433,0.9904446560451649,-0.13706207466187176,0.0,0.015276485229226417
1744722635.5772111,0.029815896321810125,0.02050061867299565,0.015604877953884645,0.9702631418998179,-0.24170169363201138,0.0,0.013027922555463445
1744722635.6463268,0.0299076479432445,0.02164835720057835,0.015596548818277106,0.9980377684386452,-0.06050533192155187,0.0,0.016115755615923537
1744722635.7106445,0.030014104209512855,0.02290923744797546,0.015750349949276203,0.9987557334676851,-0.04428467777617534,0.0,0.022931467019941195
1744722635.779962,0.030146499903697548,0.024058309934375265,0.015805349372915653,0.9933816156643904,-0.11244148610292362,0.0,0.023449474684343538
1744722635.8490047,0.030270514523842114,0.025178232665913697,0.015655886622652423,0.9968415112924401,-0.0753943384149591,0.0,0.02495385940440223
1744722635.9178777,0.030344224401861446,0.026466450490916407,0.015568824575763172,0.9989839821829034,-0.032445509491247575,0.0,0.03127766384885737
1744722635.9856026,0.030395747794636167,0.027632400876451833,0.01556903717126515,0.9993980027987178,0.013945341639427488,-0.0,0.03176727008248433
1744722636.0620387,0.03049795221088489,0.028665165798465172,0.015541668388838076,0.9995768265147874,0.020206563169788583,-0.0,0.02092516904333228
1744722636.1317034,0.03057391106620397,0.029787970057250424,0.015469937543221422,0.9936643261959486,0.11046726469536106,-0.0,0.02069275903007558
1744722636.1998253,0.030745756082563042,0.030935087072103715,0.015489897635894812,0.9881735262527683,0.15193045263054242,-0.0,0.020741735140724384
1744722636.2687445,0.030832794528229415,0.03215485476112796,0.015750181202216686,0.998037779805774,0.05528046545817209,-0.0,0.02940510532355342
1744722636.3378556,0.030904937099043465,0.03282696479531738,0.01570826697033612,0.9954823583949335,0.09138099334087761,-0.0,0.025775728515326172
1744722636.4064047,0.030894861353645983,0.03322858964141898,0.01571393500958397,0.9967556292260984,0.07494989402813775,-0.0,0.029338183162146692
1744722636.4750538,0.030313649250960913,0.03363794000562804,0.015747610810223557,0.9983802287723087,0.04027197748564083,-0.0,0.040188140364398814
1744722636.5436115,0.028842590941740597,0.03369870135691588,0.01565955837785162,0.9811031061067248,0.190739180925408,-0.0,0.0324847663935173
1744722636.612217,0.027180998209231397,0.03395538617976933,0.015625523829081573,0.9555699076185217,0.29273113631698794,-0.0,0.034563470376903785
1744722636.6806078,0.025562027383947455,0.034156302998035654,0.015593628513817981,0.9393348522035386,0.3412900537514077,-0.0,0.03422184457502845
1744722636.7499049,0.02388496658037883,0.034378288102739164,0.015569774094531882,0.8843963617347712,0.46539517144058673,-0.0,0.035361133325821886
1744722636.8174477,0.02208950369122505,0.034702334319304355,0.015544474857280622,0.8631145942736979,0.5034897054155096,-0.0,0.03913200342881825
1744722636.8852365,0.020357284748598072,0.034907755934885376,0.015513594182109815,0.8111193133553815,0.5834466395521409,-0.0,0.040932606772705514
1744722636.9533627,0.018653516354567183,0.035114869863006735,0.015484072266712449,0.7388233699901343,0.672600994187846,-0.0,0.041808259637806384
1744722637.0225635,0.016985247685098914,0.03543051193582562,0.01541508999733273,0.809742149388626,0.5846704126751981,-0.0,0.04978112137850672
1744722637.0984514,0.0153775753806403,0.03555146891334454,0.015309575636367279,0.7534498948435833,0.6560847544677363,-0.0,0.04319781146312571
1744722637.1661873,0.013117232485425172,0.03625104727920062,0.015417669530500087,0.8506572117322654,0.522395405355437,-0.0,0.05903684096745793
1744722637.2341533,0.011457366080691976,0.03629229906955903,0.01556213317985377,0.8028446236542626,0.5940977009455043,-0.0,0.04988418587800622
1744722637.3027315,0.00959024972781579,0.036395406031605335,0.015626313090171984,0.6235901484147178,0.7801172483942745,-0.0,0.050521337649117475
1744722637.369826,0.007631952927548128,0.03648967637544431,0.015630478294623624,0.4177820417226556,0.9067209421313867,-0.0,0.057578630709837736
1744722637.4395752,0.005680762206274388,0.0368085261779102,0.015556097400787743,0.4200408545863934,0.904682203582775,-0.0,0.07152475794399434
1744722637.5085926,0.004054505542832346,0.03694245904543167,0.015434826372503378,0.4032081410266068,0.9123575624644287,-0.0,0.07090044586484709
1744722637.576503,0.0024391829413886244,0.03712349602580478,0.01536340263604204,0.3936857171276528,0.9164456655063787,-0.0,0.07168610956284853
1744722637.6439795,0.0013479758949613383,0.03719006038631029,0.015307273434328266,0.42520180357831583,0.9032530460343539,-0.0,0.05776989755407888
1744722637.7117128,0.0007903471792285357,0.03685077041754948,0.015351385706214644,0.31704296224413353,0.9473505763861351,-0.0,0.044840222036947035
1744722637.7794623,0.000524384295765588,0.03646621142839665,0.015213340335689869,0.7128057901021332,0.6991715564902209,-0.0,0.0553808648534452
1744722637.8471649,0.0003845340996906485,0.03535571144253896,0.015080613562358031,0.7012426450789461,0.7110122567227009,-0.0,0.0521567206865564
1744722637.9157498,0.00023232894396630843,0.03412136823150203,0.01499189231010717,0.6103222677148122,0.7906339526453927,-0.0,0.04903756168257105
1744722637.9848764,0.00012245386576213965,0.03289768778179246,0.014990559281494559,0.4987250220155645,0.8656353009850666,-0.0,0.044146099534026526
1744722638.0583718,-4.791785434905715e-05,0.031639854689499244,0.015012451554825586,0.38596777134740456,0.9214851596193206,-0.0,0.043519881462072224
1744722638.1274927,-0.0002256120425885869,0.030530917842260977,0.015020724009409785,0.41548428674963656,0.908370115926551,-0.0,0.047292070749018714
1744722638.1953661,-0.0003287673022175687,0.029393257934455814,0.015016038411123549,0.4074891950981769,0.9120410067936715,-0.0,0.04619261634748694
1744722638.2636538,-0.00045715373985078916,0.028321070655841815,0.014958212801257665,0.4854137523454335,0.8729075555326912,-0.0,0.04904985757235512
