timestamp,robot2_j1_desired_pos,robot2_j1_desired_vel,robot2_j1_actual_pos,robot2_j1_actual_vel,robot2_j1_error_pos,robot2_j1_error_vel,robot2_j2_desired_pos,robot2_j2_desired_vel,robot2_j2_actual_pos,robot2_j2_actual_vel,robot2_j2_error_pos,robot2_j2_error_vel,robot2_j3_desired_pos,robot2_j3_desired_vel,robot2_j3_actual_pos,robot2_j3_actual_vel,robot2_j3_error_pos,robot2_j3_error_vel,robot2_j4_desired_pos,robot2_j4_desired_vel,robot2_j4_actual_pos,robot2_j4_actual_vel,robot2_j4_error_pos,robot2_j4_error_vel,robot2_j5_desired_pos,robot2_j5_desired_vel,robot2_j5_actual_pos,robot2_j5_actual_vel,robot2_j5_error_pos,robot2_j5_error_vel,robot2_j6_desired_pos,robot2_j6_desired_vel,robot2_j6_actual_pos,robot2_j6_actual_vel,robot2_j6_error_pos,robot2_j6_error_vel,
0.457241,-6.74281e-05,2.37384e-05,-6.74135e-05,5.01154e-05,-1.45082e-08,-2.6377e-05,-1.55963,0.0311531,-1.55966,-0.00236102,3.35141e-05,0.0335141,-0.148479,-0.302445,-0.148177,-2.25818e-05,-0.000302423,-0.302423,-1.4207,0.314054,-1.42102,-2.66544e-05,0.00031408,0.31408,0.15715,0.32,0.15683,0.000123534,0.000319876,0.319876,1.57463e-05,-1.77243e-05,1.59107e-05,0.000146857,-1.64414e-07,-0.000164581,
0.503506,-6.69533e-05,2.37384e-05,-6.69375e-05,5.18841e-05,-1.57703e-08,-2.81458e-05,-1.559,0.0311531,-1.55904,-0.00243997,3.35931e-05,0.0335931,-0.154528,-0.302445,-0.154226,-2.32922e-05,-0.000302422,-0.302422,-1.41442,0.314054,-1.41474,-2.44008e-05,0.000314078,0.314078,0.16355,0.32,0.16323,0.000126294,0.000319874,0.319874,1.53918e-05,-1.77243e-05,1.55558e-05,0.000146449,-1.63994e-07,-0.000164173,
0.549026,-6.64785e-05,2.37384e-05,-6.64615e-05,5.36193e-05,-1.6993e-08,-2.9881e-05,-1.55838,0.0311531,-1.55841,-0.00251882,3.36719e-05,0.0336719,-0.160577,-0.302445,-0.160275,-2.40013e-05,-0.000302421,-0.302421,-1.40814,0.314054,-1.40846,-2.21503e-05,0.000314076,0.314076,0.16995,0.32,0.16963,0.00012906,0.000319871,0.319871,1.50373e-05,-1.77243e-05,1.52009e-05,0.000146051,-1.63585e-07,-0.000163776,
0.59399,-6.60038e-05,2.37384e-05,-6.59856e-05,5.53199e-05,-1.81753e-08,-3.15815e-05,-1.55776,0.0311531,-1.55779,-0.00259757,3.37507e-05,0.0337507,-0.166626,-0.302445,-0.166323,-2.47092e-05,-0.000302421,-0.302421,-1.40186,0.314054,-1.40217,-1.9903e-05,0.000314074,0.314074,0.17635,0.32,0.17603,0.000131834,0.000319868,0.319868,1.46828e-05,-1.77243e-05,1.4846e-05,0.000145664,-1.63187e-07,-0.000163388,
0.640071,-6.5529e-05,2.37384e-05,-6.55097e-05,5.69847e-05,-1.9316e-08,-3.32463e-05,-1.55713,0.0311531,-1.55717,-0.00267621,3.38293e-05,0.0338293,-0.172675,-0.302445,-0.172372,-2.54156e-05,-0.00030242,-0.30242,-1.39558,0.314054,-1.39589,-1.76592e-05,0.000314071,0.314071,0.18275,0.32,0.18243,0.000134617,0.000319865,0.319865,1.43283e-05,-1.77243e-05,1.44911e-05,0.000145287,-1.62799e-07,-0.000163011,
0.686072,-6.50542e-05,2.37384e-05,-6.50338e-05,5.86128e-05,-2.0414e-08,-3.48744e-05,-1.55651,0.0311531,-1.55654,-0.00275474,3.39078e-05,0.0339078,-0.178724,-0.302445,-0.178421,-2.61208e-05,-0.000302419,-0.302419,-1.3893,0.314054,-1.38961,-1.54188e-05,0.000314069,0.314069,0.18915,0.32,0.18883,0.000137408,0.000319863,0.319863,1.39738e-05,-1.77243e-05,1.41363e-05,0.000144921,-1.62422e-07,-0.000162645,
0.731703,-6.45795e-05,2.37384e-05,-6.4558e-05,6.02046e-05,-2.14695e-08,-3.64662e-05,-1.55589,0.0311531,-1.55592,-0.00283316,3.39863e-05,0.0339863,-0.184773,-0.302445,-0.18447,-2.68246e-05,-0.000302418,-0.302418,-1.38302,0.314054,-1.38333,-1.31825e-05,0.000314067,0.314067,0.19555,0.32,0.19523,0.000140206,0.00031986,0.31986,1.36193e-05,-1.77243e-05,1.37814e-05,0.000144565,-1.62056e-07,-0.000162289,
0.77787,-6.41047e-05,2.37384e-05,-6.40822e-05,6.17588e-05,-2.24813e-08,-3.80204e-05,-1.55526,0.0311531,-1.5553,-0.00291146,3.40646e-05,0.0340646,-0.190821,-0.302445,-0.190519,-2.7527e-05,-0.000302418,-0.302418,-1.37674,0.314054,-1.37705,-1.09502e-05,0.000314065,0.314065,0.20195,0.32,0.20163,0.000143012,0.000319857,0.319857,1.32649e-05,-1.77243e-05,1.34266e-05,0.000144219,-1.61701e-07,-0.000161944,
0.823628,-6.36299e-05,2.37384e-05,-6.36065e-05,6.32729e-05,-2.34469e-08,-3.95346e-05,-1.55464,0.0311531,-1.55468,-0.00298963,3.41427e-05,0.0341427,-0.19687,-0.302445,-0.196568,-2.8228e-05,-0.000302417,-0.302417,-1.37046,0.314054,-1.37077,-8.72202e-06,0.000314062,0.314062,0.20835,0.32,0.20803,0.000145828,0.000319854,0.319854,1.29104e-05,-1.77243e-05,1.30717e-05,0.000143885,-1.61357e-07,-0.000161609,
0.86919,-6.31552e-05,2.37384e-05,-6.31308e-05,6.47463e-05,-2.4365e-08,-4.10079e-05,-1.55402,0.0311531,-1.55405,-0.00306768,3.42208e-05,0.0342208,-0.202919,-0.302445,-0.202617,-2.89275e-05,-0.000302416,-0.302416,-1.36417,0.314054,-1.36449,-6.49803e-06,0.00031406,0.31406,0.21475,0.32,0.21443,0.000148654,0.000319851,0.319851,1.25559e-05,-1.77243e-05,1.27169e-05,0.000143561,-1.61026e-07,-0.000161285,
