Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
em_base_link,-8.3267E-17,0.00012355,0.0077014,0,0,0,0.12279,2.413E-05,-5.9292E-21,6.5341E-20,2.4481E-05,-7.2797E-08,3.9841E-05,0,0,0,0,0,0,package://electronic_magnet/meshes/em_base_link.STL,1,0.94902,0.89804,1,0,0,0,0,0,0,package://electronic_magnet/meshes/em_base_link.STL,,connector-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
em_tcp_link,2.7756E-17,2.7756E-17,9.5087E-05,0,0,0,4.7133,0.024838,0,-1.1723E-18,0.024838,2.1387E-19,0.0017594,0,0,0,0,0,0,package://electronic_magnet/meshes/em_tcp_link.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://electronic_magnet/meshes/em_tcp_link.STL,,coli_sim-1;FeCo_core-1,坐标系2,Axis_electro_magnet,electro_magnet,continuous,0,0.00023753,0.145,0,0,0,em_base_link,0,0,1,,,,,,,,,,,,
em_ee_link,2.7756E-17,2.7756E-17,-0.1249,0,0,0,4.7133,0.024838,0,-1.1723E-18,0.024838,2.1387E-19,0.0017594,0,0,0,0,0,0,package://electronic_magnet/meshes/em_ee_link.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://electronic_magnet/meshes/em_ee_link.STL,,coli_sim-1;FeCo_core-1,坐标系3,,electromagnet_ee,fixed,0,0,0.125,0,0,0,em_tcp_link,0,0,0,,,,,,,,,,,,
