Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
calibration_base_link,8.68737263231918E-11,0.0497527045553807,0.00249999998593278,0,0,0,0.031694702045305,7.92231294487921E-05,3.02800948370523E-15,-4.01660599408829E-15,1.01746769831227E-05,-6.07540568485497E-15,8.28804530559537E-05,0,0,0,0,0,0,package://calibration_tool/meshes/calibration_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://calibration_tool/meshes/calibration_base_link.STL,,calibration_tool-1,robotarm_flange,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
calibration_ee_link,-7.17142444942006E-11,0.0497527045553807,-0.00250000001406722,0,0,0,0.031694702045305,7.92231294487921E-05,3.02800990129126E-15,-4.01660599408829E-15,1.01746769831227E-05,-6.07540607292516E-15,8.28804530559537E-05,0,0,0,0,0,0,package://calibration_tool/meshes/calibration_ee_link.STL,1,1,1,1,0,0,0,0,0,0,package://calibration_tool/meshes/calibration_ee_link.STL,,calibration_tool-1,tool_flange,,calibration_ee,fixed,0,0,0.005,0,0,0,calibration_base_link,0,0,0,,,,,,,,,,,,
calibration_tcp_link,7.58316572622721E-12,-0.041747289750852,-1.40678616219428E-11,0,0,0,0.031694702045305,7.92231294487921E-05,3.02801048604739E-15,-4.01660599408829E-15,1.01746769831227E-05,-6.07540590866126E-15,8.28804530559537E-05,0,0,0,0,0,0,package://calibration_tool/meshes/calibration_tcp_link.STL,1,1,1,1,0,0,0,0,0,0,package://calibration_tool/meshes/calibration_tcp_link.STL,,calibration_tool-1,tcp_link,,calibration_tcp,fixed,0,0.0915,-0.0025,0,0,0,calibration_ee_link,0,0,0,,,,,,,,,,,,
